answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
night-1,57.216036800218994,-2.267710455800094,1653840022,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
night-1,55.94338241655792,-2.8535018875850264,1653854003,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
night-1,55.98434876476486,-2.8437371649336023,1653864032,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
night-1,57.516914387979135,-2.402136993861024,1653897727,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
night-1,55.37016352872773,-4.522170110341986,1653899018,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
night-1,56.49099732784185,-3.016362119975221,1653903519,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
night-1,55.955938606766196,-3.2008684827301503,1653915390,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
night-1,0,0,1654514213,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
night-1,0,0,1654608876,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
night-1,0,0,1654768595,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
night-1,0,0,1654769015,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
night-1,57.64207078969978,-2.3263204701784086,1655112214,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
night-1,57.646730479689275,-2.589935218175633,1655112278,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
night-1,57.645224918916064,-2.3856581984019805,1655112286,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
night-1,57.61882684341708,-2.7624862515723687,1655112308,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
night-1,57.68033466220988,-2.2917035279501965,1655112311,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
night-1,57.672661010561065,-2.634906615875022,1655112456,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
night-1,55.087570493256095,-3.6973956715595655,1655185385,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
night-1,57.6365409395994,-2.9193457159851937,1655212973,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
night-1,57.61822808929469,-2.882649564426381,1655212999,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
