answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
calendar-1,57.21310713293025,-2.147427105132731,1653840043,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
calendar-1,55.96383117316597,-2.8510906565300784,1653854042,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
calendar-1,56.01307925972811,-2.8506681215361107,1653864062,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
calendar-1,57.13972639595301,-3.2431220992987555,1653893792,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
calendar-1,55.3729863484891,-4.582076524485023,1653899035,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
calendar-1,55.96043433411168,-3.2107116904081825,1653915404,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
calendar-1,56.77858020353116,-2.8456232410671487,1653939410,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
calendar-1,55.87762129870435,-2.887000775717754,1653995100,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
calendar-1,55.84561501379326,-4.1129349414487315,1654108075,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
calendar-1,0,0,1654514252,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
calendar-1,0,0,1654608884,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
calendar-1,0,0,1654768599,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
calendar-1,0,0,1654769021,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
calendar-1,57.63286753630078,-2.3429321176382527,1655112225,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,57.27940346228682,-3.011475843210462,1655112247,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
calendar-1,57.673616728880354,-2.686460472060459,1655112309,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,57.62033627226,-2.6695350366719164,1655112315,200,2007,15,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,57.65163165900385,-2.593761805606509,1655112316,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,57.66563083906439,-2.4939628840632966,1655112384,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
calendar-1,57.607743176000504,-2.5289176564133307,1655112415,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,57.67760067829804,-2.660444501633611,1655112415,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,57.686123202917834,-2.2834053778565835,1655112463,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
calendar-1,55.00483971814482,-3.8463683944085916,1655185395,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
calendar-1,57.65916972087358,-2.843515231101845,1655212979,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.64048746634223,-2.820509355414304,1655213005,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.616036796189526,-2.9938774435395645,1655213039,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.62064639633264,-2.996507858593261,1655213049,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.622240235952546,-2.793450955369576,1655213066,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.64061021939637,-2.9438298241759417,1655213072,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.633970859645956,-2.9476764125648933,1655213088,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.68902872133142,-2.792260299295932,1655213121,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.638868627759706,-2.8183741914009515,1655213142,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.696923114914924,-2.8952689127290214,1655213178,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.65694646456154,-2.8946393105665646,1655213223,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.626872965725774,-2.0462510700892658,1655213262,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
calendar-1,57.6536940645454,-2.8512826277157615,1655213749,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,55.86084532954554,-4.208895030647409,1655220318,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
calendar-1,57.61653330853022,-2.8807821827087814,1655291338,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.59496669446895,-2.9877763855536412,1655291603,254,2008,14,Female,School,92,Findochty,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.613458236297994,-2.8478774781285146,1655293195,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.609332023912074,-2.975451745210529,1655293928,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.684088015043216,-2.8889028704755413,1655293969,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
calendar-1,57.625838565890994,-2.97596900170338,1655299782,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
