answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
milk-1,55.96582965090873,-2.9491897386524717,1653864072,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
milk-1,55.95093629585474,-3.2520443774472945,1653915424,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
milk-1,0,0,1654514315,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
milk-1,0,0,1654608887,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
milk-1,0,0,1654768603,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
milk-1,0,0,1654769027,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
milk-1,57.6573734481145,-2.4669820083028013,1655112311,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
milk-1,57.58306147645169,-2.581721800959656,1655112321,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
milk-1,57.60110811193809,-2.7748078798832183,1655112363,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
milk-1,57.625238595455116,-2.7844765492332764,1655112446,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
milk-1,55.13875339563231,-3.9007955042105524,1655185404,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
milk-1,57.651632407031755,-2.910303247392247,1655213025,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.6108729368388,-2.873225107854528,1655213068,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.696860264274534,-2.9034428182541148,1655213083,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
milk-1,57.664193987742294,-2.9229250529238784,1655213100,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
milk-1,57.68371347395035,-2.947487636475562,1655213124,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
milk-1,57.62787904266942,-2.9119138626803345,1655213156,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
milk-1,57.6000022641079,-2.971108273498193,1655213274,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.655755945124774,-2.8201770002914808,1655213755,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.666640038207646,-2.7946439155283107,1655293203,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.62805350803418,-2.953056614996776,1655293973,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.688323503361794,-2.815257350103738,1655293988,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
milk-1,57.61356929574301,-2.859496810188787,1655299936,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
