answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
tiger-1,57.21761235952797,-2.2030891633384004,1653840064,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
tiger-1,56.73629535516075,-2.830299484011952,1653939474,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
tiger-1,55.860091821833194,-4.154869766654328,1654108097,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
tiger-1,0,0,1654514336,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tiger-1,0,0,1654608890,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tiger-1,0,0,1654768611,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tiger-1,0,0,1654769052,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tiger-1,57.621725362932914,-2.582998669443608,1655112245,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
tiger-1,57.64623147953327,-2.7611665900017544,1655112383,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
tiger-1,57.64922752885438,-2.634548478881202,1655112864,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tiger-1,57.69314051540337,-2.8582643104214207,1655213050,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.62361053127343,-2.929824482037161,1655213088,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.62214280839303,-2.8215025939421436,1655213147,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.635279402386374,-2.8059863861283576,1655213181,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.636282962718525,-2.798265952688142,1655213222,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.65588753359577,-2.8861454046823973,1655213793,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.65184966023103,-2.837170581151885,1655291357,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.654791909238234,-2.9835566281902053,1655299818,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.67645746019759,-2.7986572282741053,1655300123,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,57.643604169600835,-2.8392042561815654,1655300553,295,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,60.22562512836269,-1.42196413967656,1663158535,334,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.20977065736985,-1.557781104531391,1663158590,346,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.46955412381161,-1.4578652408566894,1663158594,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.49177597628405,-1.6009294794464741,1663158873,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.273678520553524,-1.4940450739159128,1663159213,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.359474860437786,-1.1500381291633777,1663159347,341,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.51247420245805,-1.0970474820886047,1663160023,348,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.10714234462186,-1.3021667805908468,1663161204,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
tiger-1,60.64403929124134,-1.0111062580495256,1663161424,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.380861914442335,-1.4398571676407366,1663161650,361,2008,14,Female,N,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.45045872350593,-1.256762094244794,1663161675,358,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.794236120009124,-0.8320349459092455,1663161707,362,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.47058279629795,-1.2606488916688,1663161996,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,60.594949350165,-0.907815334105337,1663162300,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
tiger-1,56.196916365345,-3.2912274606091043,1663172570,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
tiger-1,55.842973460949445,-4.349555527674923,1663173496,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
tiger-1,55.95325513456707,-3.290702611439369,1663176094,376,1976,46,Male,Y,279,"Clermiston and Drumbrae, Edinburgh",Edinburgh,"Edinburgh Clermiston Granton","Lothian (Edinburgh)"
tiger-1,55.84575351407082,-4.259206023094515,1663188920,385,1958,64,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
tiger-1,55.86839438155452,-4.36435625731418,1663191759,408,1984,38,Male,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
tiger-1,55.83533082896797,-4.1145619816798655,1663219234,411,1969,53,Female,Y,608,"Riddrie, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
tiger-1,55.864825518230795,-4.374462594676537,1663225940,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
tiger-1,59.880801297951535,-1.2957906485249235,1663231891,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
tiger-1,56.189825511887726,-3.087723000733345,1663259265,427,1990,32,Male,Y,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
tiger-1,57.624794288963564,-2.870166499671472,1663770702,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tiger-1,56.4565667608604,-3.0011021874314245,1664364035,443,1993,29,Male,Y,261,"Westend, Dundee",Dundee,"Dundee West","Tayside and Angus (Dundee)"
tiger-1,57.59667519011763,-3.3341229291037022,1664777229,451,1965,57,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
