answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
door,55.965068996900406,-2.8746232359729227,1653863820,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
door,55.312058650694055,-4.4174232572951935,1653898880,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
door,55.94807128582348,-3.2483116605289064,1653915190,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
door,57.79738216326058,-4.055661903169464,1653929034,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
door,55.93696342025559,-3.251695702671409,1653933664,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
door,55.9557977832702,-4.41207561192405,1654368441,181,1946,76,Female,N,545,Hardgate,"West Dunbartonshire",G81,Glasgow
door,0,0,1654513986,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
door,57.63078693369794,-2.7618618720301162,1655112098,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
door,57.585480044117354,-2.725124222479379,1655112108,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
door,57.6178724339232,-2.5181002408622764,1655112135,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
door,57.64254817624729,-2.5068485863921133,1655112654,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
door,57.62979508110884,-2.832768185713344,1655212758,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.60924469787344,-2.923457292997426,1655212770,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.60374332819539,-2.99042933632685,1655212773,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.67682896212228,-2.9698043122173137,1655212775,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
door,57.63764259409911,-3.04790776533297,1655212794,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.61160724044166,-2.9919167123730244,1655212801,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
door,57.68488635529081,-2.93325241733092,1655212805,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.68250587223015,-2.8661670976717786,1655212810,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
door,57.611234979864705,-2.840155179562274,1655213397,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.626925379398315,-2.821626166894396,1655215525,233,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.658682135288075,-2.789467886090119,1655291473,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.67878810440979,-2.8289412981898128,1655291513,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
door,57.61642730955588,-2.8164772475758237,1655291529,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.682740236218265,-2.899974941202311,1655291531,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.612147409994186,-2.994810743452912,1655291532,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
door,57.66115610361732,-2.8769464791263015,1655291549,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
door,57.63433988792226,-2.957267349164077,1655291555,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.616181839606966,-2.9007912643651155,1655291562,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.65184805835826,-2.9861826723309917,1655291583,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.611787068842375,-3.004893449736048,1655291611,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.683185702912176,-2.945877530372299,1655292974,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.66881643699755,-2.85364321674646,1655293610,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.6580757579416,-2.9475693899549387,1655293642,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.68803438564366,-2.814412348995988,1655293755,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
door,57.66617276764863,-2.937690486703928,1655293780,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.67368060821954,-2.914463766950074,1655293853,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.64934299371347,-2.97757986279087,1655293912,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.636346004333575,-2.921342487499566,1655293937,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.62477083279356,-2.844543284544976,1655294072,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.64006436550009,-2.9146869740317403,1655299779,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
door,57.689917933894165,-2.1346665804244385,1655299795,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
