answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
moving-1,60.04586325506445,-1.280601676306429,1663161701,358,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
moving-1,60.4594165095886,-1.3968267109210863,1663161712,361,2008,14,Female,N,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
moving-1,60.70311685546391,-1.0773158431897183,1663161813,352,2008,14,Male,N,1584,"North Roe","Shetland Isles",ZE2,"Shetland Islands"
moving-1,60.57300387049423,-0.8965335505766743,1663162003,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
moving-1,60.25155912170922,-1.566627034799962,1663162331,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
moving-1,55.9637235305923,-3.2032965853806132,1663177597,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
moving-1,55.88835243356629,-4.300743930534862,1663178193,383,1982,40,Female,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
moving-1,55.9786946393259,-5.042267444972406,1663178752,389,1965,57,Female,Y,1241,Dunoon,"Argyll and Bute",PA23,"Argyll and Bute"
moving-1,57.509855905545244,-7.175279986119515,1663178785,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
moving-1,55.81210058285747,-4.325871819146689,1663188935,385,1958,64,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
moving-1,55.881362536911,-4.282095368581296,1663219242,411,1969,53,Female,Y,608,"Riddrie, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
moving-1,55.79794251839484,-4.3393965878246865,1663225944,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
moving-1,55.868047399476204,-3.3204033799635764,1663232207,415,1987,35,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
moving-1,57.63440818204414,-2.832676879613901,1663247167,422,1979,43,Male,N,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
moving-1,55.81007547026905,-4.375466782822572,1663845145,436,1984,38,Male,Y,540,Barrhead,"East Renfrewshire",G78,Glasgow
moving-1,55.31605783429199,-4.171855447181043,1663961279,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
moving-1,55.55033947820853,-4.0035348557085175,1664215147,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
moving-1,55.08448885105593,-4.450211939849227,1664647126,447,1952,70,Female,Y,225,"Newton Stewart","Dumfries and Galloway",DG8,"Dumfries and Galloway"
moving-1,57.63908720596244,-3.284716771756885,1664777236,451,1965,57,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
moving-1,57.6839657967666,-4.384318796789437,1664777380,453,1989,33,Male,N,706,Evanton,Highland,IV16,"Highlands (Inverness)"
moving-1,55.838057000990915,-4.31285076355552,1664778029,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
moving-1,55.97927448455924,-3.2159361086834446,1664788808,459,1965,57,Female,N,288,"Murrayfield, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
moving-1,55.967724505726146,-3.201138251331857,1664788981,459,1965,57,Female,N,288,"Murrayfield, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
moving-1,55.85118890152204,-3.401854741776696,1664789740,468,1975,47,Female,Y,311,"Currie, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
moving-1,58.9470086744035,-2.720729002553709,1664792559,477,1966,56,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
moving-1,55.813770886270724,-4.259126998048166,1664795392,489,1945,77,Female,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
moving-1,55.83565237071193,-4.303758031498569,1664796659,512,1941,81,Female,N,656,"Croftfoot, Glasgow",Glasgow,"Glasgow South",Glasgow
moving-1,55.484041283732864,-2.812034964382862,1664797356,501,1949,73,Male,Y,1479,Selkirk,"Scottish Borders",TD7,Borders
moving-1,60.234260624876256,-1.3092935203606686,1664798853,531,1966,56,Female,Y,1581,"Mid Yell","Shetland Isles",ZE2,"Shetland Islands"
moving-1,55.832126137270016,-4.306421221437659,1664799903,536,1956,66,Female,Y,647,"Pollokshields, Glasgow",Glasgow,"Glasgow South",Glasgow
moving-1,56.92977693407831,-2.751234013003053,1664801721,550,1980,42,Female,Y,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
moving-1,57.731600051907414,-3.985332921210527,1664803026,557,1958,64,Male,Y,717,"Hill of Fearn",Highland,IV20,"Highlands (Inverness)"
