answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
"the same",57.36838364924691,-2.933596617428652,1653863981,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",57.20268422207998,-3.059811256864905,1653893845,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
"the same",55.94738241341929,-3.2461047989550944,1653915455,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
"the same",56.78420944538323,-2.8808505776540527,1653939511,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
"the same",55.90167410500537,-2.832510479855206,1653995219,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
"the same",57.52680839226392,-2.8744562289706317,1654296104,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",0,0,1654514450,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1654608906,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1654768624,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1654769061,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",57.62005013486936,-2.4124682783077693,1655112253,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.64087291392265,-2.6799338147441842,1655112277,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.665613184735555,-2.4921872426629754,1655112292,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
"the same",57.37852148714561,-2.7163799970648617,1655112295,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",57.59598052563326,-2.5656381361242184,1655112350,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.623009057001205,-2.4594384561116907,1655112357,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.63089242519829,-2.342361891543682,1655112358,200,2007,15,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.599864438960104,-2.7096930151288174,1655112388,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.67111284754068,-2.49559616087343,1655112400,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
"the same",57.669939389031704,-2.6365895428636055,1655112419,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.67238202126151,-2.756012305989445,1655112461,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.62150955101944,-2.721186642421731,1655112508,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.61427761388573,-2.67846594405155,1655112890,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",55.131961716959204,-3.8779321001676963,1655185445,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
"the same",57.639877179801594,-2.828495887558235,1655213021,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.68820115979563,-2.8520125922347073,1655213076,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.6741989541263,-2.8097746735034788,1655213142,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.61663983875523,-2.911961433336472,1655213147,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
"the same",57.60777991652472,-2.8710077590911767,1655213174,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
"the same",57.67323781445205,-2.9528210250807665,1655213188,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.63172158515564,-2.956909362589376,1655213205,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
"the same",57.68336068399598,-2.9498583064336326,1655213342,231,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.657234171354276,-2.9327589382423738,1655213346,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.63574364765664,-2.2884663556733864,1655213359,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
"the same",57.69277576966087,-2.8690143102338976,1655213808,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.64231972901394,-2.8074359352984004,1655291383,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.61979387441273,-2.987114052734379,1655293981,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.6171632670849,-2.8412738869301286,1655293986,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.63355735099184,-2.8923007477158085,1655294032,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
"the same",57.62635608353014,-2.9999884290064736,1655294086,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.66737793095911,-2.7778078417142447,1655299837,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.67690967726821,-2.878565157935482,1655299973,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.642520705021525,-1.9500062361876367,1655299985,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
"the same",57.69393465490407,-2.869081484561506,1655300005,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
"the same",57.641406856176886,-3.031511204064799,1655300014,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.67164097161308,-2.8995266500418557,1655300174,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.63681618326142,-2.821771206726475,1655300208,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
"the same",57.62907226008332,-2.8466522674115113,1655300352,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.632999053423376,-2.806369862334558,1655300389,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
"the same",57.64209831886405,-3.000199420516881,1655300473,284,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.53978068635631,-3.3391536572069658,1655300724,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
"the same",57.63674920770409,-3.0375339458766257,1655300819,280,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",0,0,1655822503,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1655979763,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",60.53815591016018,-1.0681618151403063,1663158495,336,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
"the same",60.24806384629976,-1.6277651380332774,1663158605,346,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
"the same",60.33434816251033,-1.3684682210603174,1663158723,342,2007,15,Male,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
"the same",60.05293206742799,-1.2172473248397684,1663158785,343,2008,14,Female,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
"the same",60.56681956058544,-1.3230672108613422,1663158896,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
"the same",60.614573194047594,-0.873895694603833,1663158929,340,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
"the same",59.983799726848645,-1.315600366995874,1663159254,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
