answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
rhyme,57.17768058253392,-2.1585594815950815,1653840099,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
rhyme,57.393499540117,-2.779223822870433,1653864012,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,57.18989239191598,-3.2381526976680814,1653893868,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
rhyme,57.15045023131276,-2.0917009737105485,1653896828,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
rhyme,55.95190076462748,-3.257239563130888,1653915474,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
rhyme,56.85719935565779,-2.647062445783252,1653939537,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
rhyme,55.902885958409,-2.853933187897241,1653995258,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
rhyme,57.488288844198436,-2.7012861516808524,1654296128,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,0,0,1654514539,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,0,0,1654608915,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,0,0,1654768629,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,0,0,1654769067,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,57.624213666936846,-2.7847535293316312,1655112269,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.672217584851,-2.484009725590216,1655112312,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.441996168714084,-2.6097403215850736,1655112316,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,57.63424661897322,-2.6245732233304047,1655112374,200,2007,15,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.63939755877856,-2.5885241463804425,1655112406,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.657402354024,-2.4803232547463185,1655112416,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.66471477672012,-2.523317538749526,1655112468,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.60686571991073,-2.628573301198793,1655112469,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.659487013057294,-2.4795712130032133,1655112508,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.36293386685171,-2.93253015571755,1655112510,199,2007,15,Male,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,57.62216118780163,-2.6853382630080915,1655112526,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
