answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
"the same",57.27034559211094,-2.1040160194833604,1653840104,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
"the same",57.41052700034658,-2.8852416072186906,1653864019,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",57.22480500561682,-3.0521934592584,1653893875,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
"the same",57.147430963995056,-2.167781509002146,1653896838,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
"the same",56.47779307925611,-3.018525552304692,1653903621,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
"the same",57.162605499676026,-2.1505995493783794,1653909799,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
"the same",56.69163029869695,-2.687598577810283,1653939548,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
"the same",57.49618860254737,-2.8416986465679503,1654296137,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",0,0,1654514551,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1654608920,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1654768633,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",0,0,1654769070,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
"the same",57.631597419940505,-2.572884987177016,1655112273,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.50181944145767,-2.6537140590152104,1655112326,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",57.654000821658634,-2.2815410323147103,1655112383,200,2007,15,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.60055830174668,-2.500880554678046,1655112387,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.65989941221717,-2.527924655143136,1655112415,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.671154964727634,-2.487340543381001,1655112427,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
"the same",57.63581186323219,-2.711689378921286,1655112472,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.59681382830528,-2.676007801035087,1655112479,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.44857417631399,-2.625037423162012,1655112516,199,2007,15,Male,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
"the same",57.667321586804405,-2.317470143087322,1655112535,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",57.62683006984125,-2.510214231293631,1655112561,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
"the same",54.92016423372883,-3.6976289189469056,1655185486,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
"the same",57.62235258854535,-2.8616374742101724,1655213152,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.645273048018645,-2.893923026196324,1655213170,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
"the same",57.67290282490868,-2.8989793626022426,1655213173,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
"the same",57.67819053991842,-2.9385999007123282,1655213195,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
"the same",57.67631659190217,-2.8963733207928155,1655213199,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.67784695130753,-2.9153984087197014,1655213223,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.62427017440261,-3.03020414445197,1655213283,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.65938094453404,-2.991870020253389,1655213383,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.66637255575701,-2.9214181291616463,1655213430,231,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.627920426150894,-2.230244103072891,1655213441,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
"the same",55.85024484062655,-4.137379875703643,1655220445,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
"the same",57.64228495384387,-2.8660582937679395,1655291415,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.6528314353416,-2.956872963369183,1655293289,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.650873360008866,-2.831034717068924,1655293997,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.69027940189914,-2.8230159112466455,1655294002,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.6107669870956,-2.8117393975529397,1655294057,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
"the same",57.67303271436437,-2.8135623253967776,1655294106,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.66585404450441,-2.7711074571656096,1655299864,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.65183643161769,-2.830553098657776,1655299999,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.676624050912466,-2.8805430019618234,1655300066,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
"the same",57.662045791592675,-3.0169394072964035,1655300071,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.67257601085387,-2.790898551299649,1655300197,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.6423307884433,-2.9065418340482116,1655300229,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
"the same",57.6066032502622,-2.8604996838115784,1655300389,279,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.65878197755133,-2.9658914477628033,1655300416,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
"the same",57.61480322670617,-2.8527576910707864,1655300469,293,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
"the same",57.62692918196488,-2.963677428899928,1655300636,295,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
