answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
rhyme,57.28753910201792,-2.0298334950094143,1653840113,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
rhyme,57.534050802408835,-2.74455130506983,1653864025,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,57.13057017950023,-3.262404771104368,1653893884,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
rhyme,56.721799180403075,-2.7647131435033385,1653939557,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
rhyme,57.4318879537147,-2.8825218175090286,1654296143,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,0,0,1654768638,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,0,0,1654769073,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,57.5884344915673,-2.5162802030486375,1655112279,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.612835804759754,-2.5190843407712897,1655112306,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.66674142253561,-2.4872975261459573,1655112327,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.60987314545309,-2.609924547051503,1655112422,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.66288200050376,-2.477688005772619,1655112440,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.61271183467933,-2.733234951908176,1655112489,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.66312396441906,-2.4792610482344246,1655112540,204,2007,15,Male,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.47470608702684,-2.823581348650663,1655112541,199,2007,15,Male,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,57.64966084024347,-2.56687885454099,1655112543,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.64028984944272,-2.2948858844880284,1655112565,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.60095151045395,-2.68891311210248,1655112935,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,55.029668998390136,-3.7343080984758594,1655185497,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
rhyme,57.688303681114164,-2.8683236535609513,1655213179,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.63944481081345,-2.8308253872021605,1655213229,221,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.68842034036816,-2.8977247739470102,1655213394,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.67062979458481,-2.9000034637451804,1655213442,231,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,55.89195744865581,-4.3012909015057526,1655220456,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
rhyme,57.643666008994515,-2.9210071011775267,1655291424,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.674226214018454,-2.8451379044584657,1655293300,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.61790351996005,-2.844534585632275,1655294001,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.68425729719958,-2.844898424209414,1655294110,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.68145886791121,-2.7796896323253133,1655299871,283,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.65300625474471,-2.9950537976616585,1655300423,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
rhyme,57.634775075523365,-2.856895267485482,1655300500,284,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,57.63849117783468,-3.3327185432745017,1655300767,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
rhyme,57.672258428244916,-2.3537233036422105,1655301121,298,2006,16,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,60.30574573053871,-1.126003089360617,1663158648,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
rhyme,60.48420421666885,-1.4331612959039104,1663161319,353,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
rhyme,60.462004817192295,-1.2503616507969573,1663161782,361,2008,14,Female,N,1607,Sullom,"Shetland Isles",ZE2,"Shetland Islands"
rhyme,57.66725103152355,-7.258980238807367,1663178813,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
rhyme,56.05858956359433,-3.7832265258820987,1663239995,421,1992,30,Female,Y,425,Polmont, Falkirk,FK2,"Stirling and Falkirk"
rhyme,57.64849714286342,-2.9635336306888913,1663770761,435,1964,58,Female,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,55.807126366750126,-4.343036993409197,1664775459,449,1957,65,Male,N,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
rhyme,55.795780810605585,-4.289156852680194,1664778382,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
rhyme,57.649480881723875,-2.867916645232976,1664785540,455,1948,74,Male,Y,90,Buckie,Moray,AB56,"North East (Aberdeen)"
rhyme,55.9895802601686,-4.663047142298268,1664795762,505,1992,30,Other,Y,548,Cardross,"Argyll and Bute",G82,Glasgow
rhyme,55.835808422499056,-4.362642528131216,1664796626,481,1955,67,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
rhyme,54.87136796348639,-5.128679456551989,1664796911,516,1988,34,Male,Y,230,Sandhead,"Dumfries and Galloway",DG9,"Dumfries and Galloway"
rhyme,57.41944938585519,-2.2447855647246824,1664797384,519,1999,23,Male,Y,49,Ellon,Aberdeenshire,AB41,"North East (Aberdeen)"
rhyme,55.48818096521214,-3.1381125853529652,1664797387,501,1949,73,Male,Y,1479,Selkirk,"Scottish Borders",TD7,Borders
rhyme,55.898107978446426,-4.2771650365347185,1664797725,524,1986,36,Female,Y,480,"Summerston, Glasgow",Glasgow,G23,Glasgow
rhyme,55.82354221733202,-4.330677648975405,1664799955,536,1956,66,Female,Y,647,"Pollokshields, Glasgow",Glasgow,"Glasgow South",Glasgow
rhyme,58.92070064840456,-3.1244669900635222,1664803874,564,1956,66,Female,N,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
rhyme,55.638728412636404,-2.800342020476264,1664806942,591,1961,61,Female,Y,1415,Stow,"Scottish Borders",TD1,Borders
rhyme,55.942181404775,-4.8731310652962705,1664806949,590,1995,27,Female,Y,1235,Gourock,Inverclyde,PA19,Glasgow
rhyme,55.9548230163837,-4.246691725257514,1664807137,569,1970,52,Female,Y,502,Bishopbriggs,"East Dunbartonshire",G64,Glasgow
rhyme,55.879126954811866,-3.2229166809862186,1664807640,599,1985,37,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
rhyme,57.465727946455075,-2.4592923000892313,1664809550,586,1968,54,Male,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
rhyme,55.86934989349348,-4.112421806227664,1664810254,613,1983,39,Female,Y,623,"Shettleston, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
rhyme,54.995493401740575,-3.4942041293694417,1664813963,635,1939,83,Male,N,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
rhyme,55.90642475913326,-4.3737752947537,1664817100,639,1984,38,Female,Y,644,"Partick, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
rhyme,60.25326028392146,-1.150244974305858,1664817180,660,1982,40,Female,N,1543,Girlsta,"Shetland Isles",ZE2,"Shetland Islands"
rhyme,55.958329976705166,-4.234390326804139,1664818292,631,1953,69,Female,N,508,Lennoxtown,"East Dunbartonshire",G66,Glasgow
rhyme,56.14523914818081,-4.051923272898348,1664820922,694,2000,22,Male,Y,479,"Stirling (north: Causewayhead, Cornton)",Stirlingshire,FK9,"Stirling and Falkirk"
rhyme,55.0416754488816,-3.3870048532956014,1664820929,688,1969,53,Female,Y,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
rhyme,55.89477141146347,-4.032709478435839,1664821028,696,1987,35,Female,Y,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
rhyme,56.73451599991788,-2.884293898598184,1664830702,751,1998,24,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
