answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
rhyme,57.4434470302719,-2.6456909008512657,1653864034,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,57.14699184117272,-2.168876847137125,1653896877,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
rhyme,57.15138385635801,-2.0971737497302425,1653909827,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
rhyme,56.86912711095998,-2.84882791125317,1653939565,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
rhyme,55.901235402123426,-2.8143460685702695,1653995362,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
rhyme,55.82487798395055,-4.084696303671039,1654108167,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
rhyme,57.39811468814554,-2.819395134787635,1654296152,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
rhyme,0,0,1654768641,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,0,0,1654769076,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
rhyme,57.62116328400256,-2.6473445689632826,1655112284,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.5967511756292,-2.5372206864454845,1655112311,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
rhyme,57.66930536799101,-2.494594027898927,1655112331,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
rhyme,57.396554320344976,-2.8083040843034954,1655112340,193,2006,16,Female,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
