answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
can't,0,0,1654768660,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
can't,0,0,1654769149,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
can't,57.66880888151,-2.4976991481949193,1655112342,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
can't,57.608461815514296,-2.531670136893604,1655112409,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
can't,57.58705526835056,-2.578050530336827,1655112486,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
can't,57.60712538344325,-2.998776045699239,1655213145,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
can't,57.68257755558706,-2.912348519822601,1655213198,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
can't,57.67971137587909,-2.9496547096765955,1655213203,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
can't,57.59884880593672,-2.1090475935449495,1655213488,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
can't,57.624418436720234,-2.9478055566688677,1655293328,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
can't,57.675819681056986,-2.881599979946846,1655294010,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
can't,57.61057486739547,-2.864232144789322,1655300091,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
can't,57.67420612057664,-2.829979360362475,1655300092,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
can't,57.62620392871073,-2.9454614553129947,1655300259,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
can't,0,0,1655822538,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
can't,60.70128316944529,-1.083345251149092,1663159037,340,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
can't,60.267299653536135,-1.2887314821044704,1663159325,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
can't,60.152080127032285,-1.1470124782504367,1663161278,351,2008,14,Male,School,1500,Lerwick,"Shetland Isles",ZE1,"Shetland Islands"
can't,55.73948700313235,-4.022761400397986,1663161521,363,2008,14,Male,School,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
can't,60.29021331364823,-1.4049509590235478,1663161611,359,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
can't,59.96647508038933,-1.2889164055259001,1663162420,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
can't,55.803321524488226,-4.344126402158275,1663173651,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
can't,55.96927960754657,-3.2641654043341712,1663176169,376,1976,46,Male,Y,279,"Clermiston and Drumbrae, Edinburgh",Edinburgh,"Edinburgh Clermiston Granton","Lothian (Edinburgh)"
can't,55.95892903470853,-3.256911710518431,1663177643,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
can't,55.882982219698114,-4.318300979063873,1663178265,383,1982,40,Female,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
can't,55.92548743026009,-5.045839557002989,1663178805,389,1965,57,Female,Y,1241,Dunoon,"Argyll and Bute",PA23,"Argyll and Bute"
can't,57.540318723732256,-7.210263150619067,1663178828,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
can't,55.942076656512015,-4.757368981090832,1663178926,387,1991,31,Female,Y,1230,"Greenock (central and east: Bogston, Bridgend, Cartsdyke, Gibshill, Greenock Central, Ladyburn, Upper Ingleston)",Inverclyde,PA15,Glasgow
can't,55.51663878325801,-2.410302720164911,1663180224,391,1972,50,Female,N,1451,Kelso,"Scottish Borders",TD5,Borders
can't,56.643874724332356,-2.7665675657464375,1663184530,404,1990,32,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
can't,55.86346895722078,-4.342972842343036,1663225980,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
can't,55.93163402155425,-3.2256112122922502,1663232267,415,1987,35,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
can't,55.818804328654466,-4.275159360157554,1663688896,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
can't,55.789173337652485,-4.455397317980242,1663845199,436,1984,38,Male,Y,540,Barrhead,"East Renfrewshire",G78,Glasgow
can't,55.472609155973984,-4.077434944559768,1664215213,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
can't,57.65616513212289,-3.368325575236355,1664777297,451,1965,57,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
can't,55.78739116910388,-4.2769300203583605,1664778413,454,1955,67,Male,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
can't,55.91991805389336,-3.252491940465784,1664789780,468,1975,47,Female,Y,311,"Currie, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
can't,55.81108511772795,-4.274228381768396,1664795476,489,1945,77,Female,Y,648,"Shawlands, Glasgow",Glasgow,"Glasgow South",Glasgow
can't,56.19224977736145,-4.22031966672627,1664795793,509,1992,30,Female,Y,473,"Stirling (centre and west: Kings Park, Raploch, Riverside)",Stirlingshire,FK8,"Stirling and Falkirk"
can't,55.832470651864554,-4.272820193419967,1664796724,512,1941,81,Female,N,656,"Croftfoot, Glasgow",Glasgow,"Glasgow South",Glasgow
can't,55.819010049755555,-4.317357806860423,1664799972,536,1956,66,Female,Y,647,"Pollokshields, Glasgow",Glasgow,"Glasgow South",Glasgow
can't,58.91965213243278,-2.8324880811604816,1664800028,539,1949,73,Female,Y,1025,"Orkney Islands",Orkney,KW17,"Orkney Islands"
can't,56.10966419247784,-3.9043647076314367,1664801395,547,1996,26,Male,Y,464,"Stirling (south and east: Braehead, Borestone, Broomridge, Torbrex)",Stirlingshire,FK7,"Stirling and Falkirk"
can't,55.87074045154434,-3.3357132251789063,1664801661,514,1973,49,Female,Y,308,"Liberton, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
can't,56.48201113387126,-3.021693975728585,1664803505,562,1952,70,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
can't,55.22274509243735,-3.6349719525300666,1664806029,587,1959,63,Female,Y,186,"Dumfries (centre and east: Dalscone, Georgetown, Heathhall, Kingholm Quay, Noblehill, The Crichton)","Dumfries and Galloway",DG1,"Dumfries and Galloway"
can't,55.942748017561996,-3.2109980470883865,1664807656,599,1985,37,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
can't,55.94361597748637,-3.1204591315224914,1664816387,650,1993,29,Male,Y,281,"Portobello, Edinburgh",Edinburgh,"Edinburgh Duddingston","Lothian (Edinburgh)"
can't,55.90907157310965,-4.360762334533826,1664817113,639,1984,38,Female,Y,644,"Partick, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
can't,55.96953150621055,-3.2034268748406323,1664817169,663,1982,40,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
can't,55.877088706006354,-4.06959069438461,1664817333,664,1980,42,Female,N,1189,Coatbridge,"North Lanarkshire",ML5,Glasgow
can't,56.13413212104002,-4.803815286848817,1664819071,676,1994,28,Female,Y,553,Arrochar,"Argyll and Bute",G83,"Argyll and Bute"
can't,55.88171285503061,-4.366716148894197,1664819188,677,1978,44,Female,N,638,"Drumchapel, Glasgow",Glasgow,"Glasgow Northwest",Glasgow
can't,55.825842020199346,-4.337471347784328,1664820055,681,2002,20,Other,Y,645,Clarkston,"East Renfrewshire","Glasgow South",Glasgow
can't,55.835143452348156,-4.38012835541834,1664820331,680,2004,18,Female,Y,1236,"Paisley (south: Blackhall, Castlehead, Dykebar, Foxbar, Hunterhill, Meikleriggs)",Renfrewshire,PA2,Glasgow
can't,57.107261548609344,-2.9486908498333335,1664821301,693,2001,21,Female,School,33,Aboyne,Aberdeenshire,AB34,"North East (Aberdeen)"
can't,56.24712915867734,-3.2460949369585888,1664821437,666,1986,36,Male,Y,1105,Cupar,Fife,KY15,Fife
can't,55.8293404529125,-4.272527606321863,1664822121,708,1958,64,Female,Y,658,"Giffnock, Glasgow",Glasgow,"Glasgow South",Glasgow
can't,57.57211432412356,-4.611616195460239,1664823411,714,2004,18,Female,Y,704,Strathpeffer,Highland,IV14,"Highlands (Inverness)"
can't,57.31642052582843,-3.6491467238203428,1664824103,719,1977,45,Female,Y,1371,Grantown-On-Spey,Highland,PH26,"Highlands (Inverness)"
can't,56.75124386920909,-3.183368923295199,1664824879,724,1974,48,Female,Y,181,Kirriemuir,Angus,DD8,"Tayside and Angus (Dundee)"
