answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
think,0,0,1654768665,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
think,0,0,1654769354,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
think,57.634490572380024,-2.7281200116914293,1655112323,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
think,57.61956539503203,-2.7926331088026086,1655112415,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
think,57.624207298799554,-2.643743444127568,1655112517,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
think,57.59635822813974,-2.6972319181466,1655112599,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
think,57.654519298295654,-2.929959258457108,1655213149,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
think,57.685968048470095,-2.8331300034342686,1655213193,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
think,57.601297170435714,-2.9506052566886107,1655213210,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
think,57.695144616789776,-2.79922616229955,1655213211,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
think,57.63947943612918,-2.8959431377984153,1655213243,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
think,57.62690342730605,-2.921394011632862,1655213270,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
think,57.69485804448481,-2.8625129178969937,1655213322,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
think,57.65591731951992,-2.1489249558750902,1655213502,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
think,57.60922130413719,-3.0061119890388555,1655213850,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
think,57.64821314267612,-3.02812491558448,1655291449,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
think,57.68370264582738,-2.909351539856795,1655294014,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
think,57.64873620187251,-3.0323878397785706,1655300096,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
