answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
one,60.26805909402378,-1.6106504097941141,1663158685,333,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
one,60.01899171059702,-1.2893927421391491,1663158946,343,2008,14,Female,School,1622,Voe,"Shetland Isles",ZE2,"Shetland Islands"
one,60.51066291650015,-1.092408032032962,1663159086,338,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
one,60.356822049074495,-1.1259877948511374,1663159100,340,2008,14,Female,School,1561,Hillswick,"Shetland Isles",ZE2,"Shetland Islands"
one,60.30700231561675,-1.3294864918714655,1663159389,344,2008,14,Female,School,1521,Busta,"Shetland Isles",ZE2,"Shetland Islands"
one,60.01379018373817,-1.2369616447930714,1663161356,353,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
one,60.416936148076495,-1.2948222106748022,1663161514,354,2008,14,Female,School,1582,Mossbank,"Shetland Isles",ZE2,"Shetland Islands"
one,55.72010010952513,-4.01230101328029,1663161537,363,2008,14,Male,School,1183,Hamilton,"South Lanarkshire",ML3,Glasgow
one,60.4490629361769,-1.1916715400144777,1663161635,359,2008,14,Female,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
one,60.55043629234261,-1.080725854463226,1663162483,356,2008,14,Male,School,1621,Vidlin,"Shetland Isles",ZE2,"Shetland Islands"
one,56.21669552927844,-3.196115464784406,1663172727,369,1967,55,Male,Y,1129,"Glenrothes (west: Caskieberran, Rimbleton, Macedonia, Tanshall)",Fife,KY6,Fife
one,55.832444321885774,-4.360199157808291,1663173692,370,1971,51,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
one,55.97265100602096,-3.2349091755882378,1663176190,376,1976,46,Male,Y,279,"Clermiston and Drumbrae, Edinburgh",Edinburgh,"Edinburgh Clermiston Granton","Lothian (Edinburgh)"
one,55.939767236434626,-3.2858020967947255,1663177654,382,1993,29,Female,Y,287,"Corstorphine, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
one,55.885046090910706,-4.3374365352712925,1663178309,383,1982,40,Female,Y,587,"Jordanhill, Glasgow",Glasgow,"Glasgow Kelvin",Glasgow
one,56.03530271026358,-5.10901555268983,1663178833,389,1965,57,Female,Y,1241,Dunoon,"Argyll and Bute",PA23,"Argyll and Bute"
one,57.632986698273875,-7.3664008099663505,1663178842,386,1988,34,Female,Y,693,"Isle of North Uist","Western Isles",HS6,"Western Isles"
one,55.84684736133653,-4.3456741374631,1663180903,395,1993,29,Female,Y,678,"Cardonald, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
one,56.87625874673466,-3.240688034845076,1663184543,404,1990,32,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
one,55.814751432089366,-4.313745971198214,1663191851,408,1984,38,Male,N,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
one,55.82215523252967,-4.36315043010656,1663225998,413,1991,31,Female,Y,675,"Penilee, Glasgow",Glasgow,"Glasgow Southwest",Glasgow
one,59.87023288608671,-1.2793919809949592,1663231976,414,1992,30,Other,Y,1638,Virkie,"Shetland Isles",ZE3,"Shetland Islands"
one,55.930337079002875,-3.1730024831938324,1663232286,415,1987,35,Male,Y,319,"Blackford, Edinburgh",Edinburgh,"Edinburgh South","Lothian (Edinburgh)"
one,56.186034046976076,-3.1466613638150167,1663259370,427,1990,32,Male,Y,1133,"Glenrothes (centre and east: Pitteuchar, Finglassie, Stenton, Auchmuty, Pitcoudie, Balfarg, Pircairn, Collydean)",Fife,KY7,Fife
one,55.83018332003524,-4.258826369249884,1663688925,432,1986,36,Male,N,651,"Cathcart, Glasgow",Glasgow,"Glasgow South",Glasgow
one,55.79929104814428,-4.3461012670344354,1663845225,436,1984,38,Male,Y,540,Barrhead,"East Renfrewshire",G78,Glasgow
one,55.433896358740235,-4.136423320069068,1664215243,437,1977,45,Female,N,798,Cumnock,"East Ayrshire",KA18,Ayrshire
one,55.99791679393439,-4.537253179013426,1664388108,444,1989,33,Female,Y,557,Alexandria,"West Dunbartonshire",G83,"Argyll and Bute"
one,57.66079983163986,-3.369706841190333,1664777313,451,1965,57,Female,Y,737,Elgin,Moray,IV30,"North East (Aberdeen)"
