answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
Paul,55.895410648263784,-2.757901733052078,1653853798,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
Paul,55.99329605342439,-2.8191070796667104,1653863830,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
Paul,55.94038152699273,-3.2468967653404324,1653915201,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
Paul,57.799070346555666,-4.1327860322454715,1653929046,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
Paul,55.93501582757652,-3.2427027479187256,1653933678,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
Paul,55.91980548033213,-4.387379642266685,1654368516,181,1946,76,Female,N,545,Hardgate,"West Dunbartonshire",G81,Glasgow
Paul,0,0,1654514004,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
Paul,0,0,1654608827,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
Paul,0,0,1654768529,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
Paul,0,0,1654768947,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
Paul,57.670652056311035,-2.3748446991442393,1655112100,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
Paul,57.59978835333965,-2.529962286558858,1655112118,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
Paul,57.63863379277375,-2.6711248747470395,1655112165,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
Paul,57.62564816426055,-2.8090867703620828,1655212766,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.66209738514569,-2.785711365513081,1655212788,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.62351146894268,-2.8825411525097473,1655212809,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.66513666894029,-2.8607319707910426,1655212818,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
Paul,57.66279871240419,-2.80797665697014,1655212822,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
Paul,57.65744800290597,-2.1174853703131298,1655212929,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
Paul,57.6879185248168,-2.9288755958111996,1655213407,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.6386828161943,-2.9330649653043706,1655215538,233,2005,17,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.642021133062315,-3.028034959155977,1655291191,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.612122563292914,-2.9388649085589966,1655291480,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.658329255715586,-2.9594565097969796,1655291538,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
Paul,57.67367089972764,-2.911005142130509,1655291540,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.696168069996915,-2.8768237663295007,1655291558,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.6558254219438,-2.8711134336584436,1655291563,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
Paul,57.65045940916468,-2.8514913488361087,1655291569,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.66769435188362,-2.933687142035904,1655291593,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.63626795147146,-2.8520965749889444,1655291601,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.657532535033134,-2.7992311730735375,1655292991,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
Paul,57.65204967376351,-2.9412453245322845,1655293626,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
