answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
tie,55.91184255338643,-2.6457921377675233,1653853808,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
tie,57.31980169218442,-3.1723281918427806,1653863818,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
tie,55.992002448094006,-2.850137181155576,1653863841,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
tie,57.152158996799905,-2.0895371756377394,1653909592,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
tie,55.941653414137384,-3.277751085684114,1653915214,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
tie,57.813400505892034,-4.050725880992014,1653929054,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
tie,55.92671826952409,-3.2691463833514796,1653933685,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tie,0,0,1654514032,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tie,0,0,1654608830,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tie,0,0,1654768532,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
tie,57.60659968957985,-2.7524069607605295,1655112107,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,57.62370825087293,-2.424548933982898,1655112109,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,57.671718301301084,-2.487165600002547,1655112115,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
tie,57.666491416614164,-2.286339445197048,1655112126,200,2007,15,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,57.67385050291998,-2.6630309120891402,1655112132,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,57.66432220825903,-2.5721657650078993,1655112180,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,57.593020834760864,-2.522305161410917,1655112256,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,57.64400852705613,-2.7172860400506456,1655112674,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
tie,55.03125486724229,-3.66160620467744,1655185285,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
tie,57.651343440847064,-2.928552392774768,1655212778,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.633987415371905,-2.839927101795528,1655212789,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
tie,57.65368024503086,-2.856003263523619,1655212797,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.65535690105365,-3.0287778773331477,1655212810,220,2007,15,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.64165592478357,-2.8740766063342873,1655212826,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.6248582559388,-2.923847346181696,1655212827,225,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.62790712155382,-2.7880970187035845,1655212829,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
tie,57.67676063075961,-2.9489143346568025,1655212837,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.65650220452553,-2.9265547531365685,1655212839,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
tie,57.650371112297236,-3.02643311637733,1655212879,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
tie,57.66143507183612,-2.930457933318125,1655213412,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,55.830623111682115,-4.112823133680427,1655216954,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
tie,55.90344674341815,-4.169675232120287,1655220029,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
tie,57.64943155287232,-2.9471316507250997,1655291202,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.61761018371368,-2.870390991722578,1655291485,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.63866576665637,-2.8131995076307987,1655291547,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.65091660481564,-2.942810265487842,1655291556,241,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.64408252958697,-3.008175937751868,1655291556,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tie,57.63701649743883,-2.8099636932118743,1655291556,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tie,57.65480861952462,-2.995025838365207,1655291567,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.62608873998312,-2.8412659446645976,1655291569,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tie,57.65313039779132,-2.928297130249582,1655291581,238,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.68307841229959,-2.8889412520773057,1655291581,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.658396089934165,-2.8264317282398923,1655291606,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.66689761864568,-2.99524166677993,1655291613,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.656637954802804,-2.834028421477909,1655291618,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.67503342390011,-2.8829975949703477,1655291642,242,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.667698846909154,-2.8927313937612706,1655293002,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.618231739258945,-2.808464566162371,1655293632,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.69308599393531,-2.902499253783639,1655293659,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.68994173792515,-2.8831974494851664,1655293749,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.66055294415891,-2.930504392815773,1655293772,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tie,57.62613481303575,-2.8770096890317745,1655293794,261,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.632273561502465,-2.7876306374009805,1655293871,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.68218810911382,-2.951745038203675,1655293918,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.636022908460035,-3.027841793144393,1655293980,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.66380802182709,-2.900381909323301,1655294090,276,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.66467403210163,-2.839998687231878,1655299779,292,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.62428933767451,-2.8444471682679326,1655299798,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.691312251026275,-2.820740969150834,1655299806,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.632429606816224,-2.919583354558124,1655299814,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
tie,57.597581257304924,-1.9567678209585193,1655299814,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
tie,57.621146502837824,-2.795163386303835,1655299873,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
tie,57.645496654516194,-2.9474251628474026,1655299911,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
