answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
bed,55.865078054960165,-2.7653959752966686,1653853815,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
bed,55.9464308789027,-3.038601811476271,1653863848,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
bed,55.95672951496484,-3.175701671723096,1653915219,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
bed,57.798574714696905,-4.260729465041059,1653929061,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
bed,55.91279749802552,-3.276086134212095,1653933690,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bed,0,0,1654514045,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bed,0,0,1654608837,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bed,0,0,1654768535,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bed,0,0,1654768956,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bed,57.662490993386996,-2.3479533191963537,1655112126,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
bed,57.65876169584224,-2.4777536043977664,1655112127,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
bed,57.6215953923022,-2.598499174382541,1655112146,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bed,57.67147323339013,-2.7314139530260744,1655112190,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bed,57.60704127877597,-2.878504164256898,1655212786,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.61030345909934,-2.908703854662149,1655212796,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
bed,57.61336919812794,-2.842903632782494,1655212807,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.67873409632812,-2.9328779949949406,1655212852,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.66878576872605,-2.8008102018105228,1655212887,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
bed,57.67777851846715,-2.9544114063455766,1655212905,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
bed,57.62664311343685,-2.919396297286748,1655213419,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.642101347070415,-3.0024616713264027,1655291480,254,2008,14,Female,School,92,Findochty,Moray,AB56,"North East (Aberdeen)"
bed,57.626220194986196,-2.97119024726595,1655291492,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.64230980972477,-2.954946039199357,1655291556,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.643589479211556,-2.896673812003549,1655291563,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
bed,57.67613806043508,-2.919823201487707,1655291566,241,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.61091917387978,-2.927469925911121,1655291571,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
bed,57.67549710388134,-2.8015402879682654,1655291575,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
bed,57.668126530143404,-2.9487185393753137,1655291586,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.697383094456946,-2.885863442170295,1655291618,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.66336405007194,-2.9390994497878777,1655291633,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.66323107783458,-2.8786312060016037,1655293011,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.649091464949876,-2.993614732359962,1655293669,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.63140929662952,-2.91244038428286,1655293705,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.66527796370473,-2.7896022803524683,1655293758,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.65235726147189,-2.840778540956483,1655293906,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.65053542415838,-2.953290168839727,1655293924,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.684042543150426,-2.943605647486445,1655293997,271,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.61832484376306,-2.797957615424165,1655299812,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.67344192823537,-2.9418702294545573,1655299815,296,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bed,57.677343347164474,-2.95432784900252,1655299821,294,2005,17,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
