answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
bake,55.89836604550339,-2.71187253385894,1653853821,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
bake,55.97220259759491,-2.8404812542101148,1653863854,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
bake,55.37719266663531,-4.431877064916563,1653898919,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
bake,55.95739439507241,-3.1875925166792176,1653915232,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
bake,57.79996955225801,-4.02461055239324,1653929069,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
bake,55.953675045346216,-3.191960733566047,1653933696,141,1980,42,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bake,0,0,1654514058,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bake,0,0,1654608841,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bake,0,0,1654768959,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
bake,57.63267377742393,-2.7416692529209983,1655112119,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,57.643442487573125,-2.405071968834541,1655112149,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,57.63916238627957,-2.722956537787446,1655112156,202,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,57.67273891938738,-2.5922862168833207,1655112201,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,57.63459353299778,-2.4935410295295686,1655112272,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,57.59910438549271,-2.767756622133751,1655112382,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,57.651721229260176,-2.7814116525072965,1655112694,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
bake,55.124160162639974,-3.762031294260547,1655185297,207,1991,31,Male,Y,207,"Dumfries (west: Broomlands, Cargenbridge, Lochside, Maxwelltown, Troqueer)","Dumfries and Galloway",DG2,"Dumfries and Galloway"
bake,57.670957285275534,-2.899765181289629,1655212796,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.666717673006374,-2.9933210031416855,1655212804,215,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
bake,57.63958008518664,-2.835052627241094,1655212824,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.61465383008712,-3.022284713388022,1655212890,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.64476557883681,-2.976420265383269,1655212892,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.608935260842074,-3.013610264773262,1655212901,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
bake,57.637251430777944,-2.828407240065519,1655212927,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
bake,57.66551745267016,-2.9555204549630547,1655212940,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
bake,57.61360653703299,-2.8088133945793046,1655213424,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,55.88514657916689,-4.243607043281412,1655217087,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
bake,55.82954170746343,-4.160186825521346,1655220038,214,1999,23,Female,Y,634,"Maryhill, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
bake,57.638754332839376,-2.8148364297707555,1655291219,239,2008,14,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.69398104491392,-2.8715779778416555,1655291500,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.65177486690341,-2.9331265381959564,1655291564,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
bake,57.662574331625756,-3.0278691076291495,1655291569,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
bake,57.598947945479296,-2.9690689082292803,1655291583,251,2009,13,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
