answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
craft,57.3022628150165,-2.2441399461229747,1653839941,8,1986,36,Female,Y,117,Balmedie,Aberdeenshire,"Aberdeen North","North East (Aberdeen)"
craft,56.7865667088211,-3.0375976873282537,1653854457,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
craft,57.24244220916792,-2.191036865204294,1653855756,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
craft,57.544046926603905,-2.7539060391171097,1653863838,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
craft,57.15713671078615,-3.0913265985508915,1653867085,68,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
craft,57.15355928276939,-3.324499075780203,1653893621,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
craft,57.17339624252933,-2.1654096940363687,1653896476,56,1963,59,Male,N,104,"Tillydrone, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
craft,57.487389896774886,-2.2580157729780397,1653897562,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
craft,57.16539434518007,-2.187714600965111,1653909611,113,1989,33,Male,N,101,"Sheddocksley, Aberdeen",Aberdeen,"Aberdeen Central","North East (Aberdeen)"
craft,56.748767114259216,-2.6584559480648067,1653939284,146,1971,51,Female,N,182,Brechin,Angus,DD9,"Tayside and Angus (Dundee)"
craft,55.921098484957454,-2.9031788167178303,1653994871,158,1998,24,Other,Y,350,Pencaitland,"East Lothian",EH34,"Lothian (Edinburgh)"
craft,55.85920876935039,-4.219422088156958,1654107974,169,1961,61,Female,Y,609,"Garthamlock, Glasgow",Glasgow,"Glasgow Northeast",Glasgow
craft,57.42853417657515,-2.8793930729302315,1654295863,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
craft,0,0,1654608843,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
craft,0,0,1654768543,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
craft,0,0,1654768962,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
craft,57.61281548859062,-2.6850987306403566,1655112035,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.60519858877124,-2.497068289203937,1655112131,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.66735343286495,-2.503525705306224,1655112141,192,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
craft,57.679105395824436,-2.3062399793709543,1655112163,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.65709258675008,-2.4443428454144254,1655112165,188,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.62471576663396,-2.438844229010789,1655112166,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.58647355142141,-2.752918844510982,1655112194,196,2005,17,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.66602416904626,-2.505728525053328,1655112201,191,2005,17,Female,School,58,Macduff,Aberdeenshire,AB44,"North East (Aberdeen)"
craft,57.630594828504535,-2.7840964430997936,1655112216,201,2006,16,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.288361499562704,-3.0172855184570375,1655112245,199,2007,15,Male,School,79,Aberchirder,Aberdeenshire,AB54,"North East (Aberdeen)"
craft,57.63929063244967,-2.439639277336588,1655112264,198,2006,16,Female,School,60,Cornhill,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.64208359174652,-2.4993182359156174,1655112389,195,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.66716436830948,-2.27698532034297,1655112702,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.64541881422952,-2.9533447247750515,1655212890,228,2006,16,Male,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
craft,57.70351951839714,-2.864957023475857,1655212958,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
craft,57.62109924840422,-2.9154455749656787,1655213158,231,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.69241977636246,-2.8975883865846224,1655291492,254,2008,14,Female,School,92,Findochty,Moray,AB56,"North East (Aberdeen)"
craft,57.65755114155069,-2.9304801953674193,1655291590,241,2008,14,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.643857500562255,-3.0367039293057587,1655291591,237,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.6813559039092,-2.7800670794248328,1655291597,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.66146906861641,-3.0322411385321395,1655291649,248,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.650057279274854,-2.9961774710532594,1655291651,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.6326233740869,-2.7987107321923976,1655293783,267,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.611233867367716,-2.8482779149025514,1655293798,265,2006,16,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
craft,57.6374666640635,-2.1782053907888166,1655299844,289,2006,16,Female,School,57,Fraserburgh,Aberdeenshire,AB43,"North East (Aberdeen)"
craft,57.64059003420432,-3.043861235652285,1655299894,286,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.62659144557631,-2.5801452457507827,1655300159,298,2006,16,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
craft,57.637789516545205,-3.0090498424374617,1655300260,290,2006,16,Female,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
craft,57.65714321293278,-2.8633727035159033,1655300550,280,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
craft,57.643773169482486,-3.216666682137769,1655300554,281,2006,16,Female,School,737,Elgin,Moray,IV30,"North East (Aberdeen)"
craft,0,0,1655822440,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
craft,0,0,1655993823,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
craft,60.15351088742919,-1.1799881336861175,1663062198,331,1985,37,Male,Y,1501,Scalloway,"Shetland Isles",ZE1,"Shetland Islands"
