answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
foam,55.96393532032876,-2.9246797303227168,1653863877,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
foam,55.193857065720394,-4.464524716062942,1653898934,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
foam,55.93942968580318,-3.2885903493032456,1653915253,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
foam,57.79081083976105,-4.1574146537218875,1653929083,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
foam,0,0,1654514089,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
foam,0,0,1654608846,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
foam,0,0,1654768546,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
foam,0,0,1654768967,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
foam,57.639144130153674,-2.4778346486018927,1655112286,203,2006,16,Male,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
foam,57.66334141170131,-2.380483110047314,1655112709,205,2008,14,Male,N,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
foam,57.631488952582885,-2.89376025395541,1655212817,219,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.648035076304176,-2.9683929134992706,1655212875,218,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.67171442778613,-2.853807318983672,1655212910,229,2006,16,Female,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.61457974782793,-2.982173362950225,1655212932,224,2006,16,Male,School,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
foam,57.683899249052956,-2.8533366331778667,1655212940,226,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.60865574035347,-2.990647370536753,1655212954,223,2006,16,Male,N,94,Portgordon,Moray,AB56,"North East (Aberdeen)"
foam,57.64863202644141,-2.9707005107753304,1655212984,227,2007,15,Male,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
foam,57.627331539105406,-2.2608278987712565,1655213031,222,2006,16,Female,School,56,Crimond,Aberdeenshire,AB43,"North East (Aberdeen)"
foam,57.6694346149395,-2.968299985749662,1655213435,230,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.61133661649475,-2.9028844781779606,1655291512,255,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.655242211716754,-3.017549288630309,1655291581,246,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.60553104707475,-3.001906105831379,1655291587,245,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
foam,57.66557298193855,-2.937313539398308,1655291599,247,2008,14,Female,School,95,Portknockie,Moray,AB56,"North East (Aberdeen)"
foam,57.624775982117505,-2.871305233106403,1655291605,252,2007,15,Other,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.663028825144025,-2.9769165678518563,1655291666,243,2008,14,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.65657730034556,-2.9271334647679277,1655291739,250,2009,13,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.61896737703518,-3.009744867832129,1655293035,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.69611966939778,-2.8449105360811635,1655293690,270,2006,16,Male,N,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.670461880866945,-2.906045101757366,1655293781,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.67976591333035,-2.7783135922500546,1655293928,264,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.63315104820398,-2.9890195934489285,1655293935,260,2005,17,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.66191939943122,-2.875215330458957,1655299858,291,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.67926128190844,-2.7852821843996134,1655299990,285,2006,16,Female,School,91,Cullen,Moray,AB56,"North East (Aberdeen)"
foam,57.699967824976326,-2.8624450618588186,1655300135,284,2006,16,Male,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,57.61818492047988,-2.9847470104897686,1655300233,295,2006,16,Female,School,90,Buckie,Moray,AB56,"North East (Aberdeen)"
foam,0,0,1655993827,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
foam,59.94386385976576,-1.2819090020237653,1663158280,336,2008,14,Male,School,1512,Brae,"Shetland Isles",ZE2,"Shetland Islands"
