answer,lat,lng,submitted,pid,born,age,gender,uni,lid,location,county,area,region
scarred,55.91436113068294,-2.695881327556894,1653853847,32,1955,67,Female,Y,357,Haddington,"East Lothian",EH41,"Lothian (Edinburgh)"
scarred,56.768413910228745,-2.877930480456445,1653854476,33,1966,56,Female,Y,179,Forfar,Angus,DD8,"Tayside and Angus (Dundee)"
scarred,57.21906124317786,-2.186403667779656,1653855769,35,1959,63,Male,N,113,"Bridge of Don, Aberdeen",Aberdeen,"Aberdeen North","North East (Aberdeen)"
scarred,57.39418286800644,-2.992487619701034,1653863851,64,1982,40,Female,Y,87,Glass,Aberdeenshire,AB54,"North East (Aberdeen)"
scarred,56.03252327470912,-2.834263583214932,1653863890,60,1978,44,Other,N,348,Prestonpans,"East Lothian",EH32,"Lothian (Edinburgh)"
scarred,57.13403351219164,-3.225619104914547,1653893642,84,1975,47,Female,N,40,Strathdon,Aberdeenshire,AB36,"North East (Aberdeen)"
scarred,57.49716998896903,-2.453918861326868,1653897577,87,1960,62,Female,Y,78,Turriff,Aberdeenshire,AB53,"North East (Aberdeen)"
scarred,55.4519766797755,-4.44957571435375,1653898944,91,2003,19,Female,Y,852,Dalmellington,"East Ayrshire",KA6,Ayrshire
scarred,56.46731156208383,-2.9635691870111986,1653903428,102,1969,53,Female,N,236,"Lochee, Dundee",Dundee,"Dundee Central","Tayside and Angus (Dundee)"
scarred,55.93987648907276,-3.26722226082429,1653915286,118,1988,34,Female,N,299,"Broughton, Edinburgh",Edinburgh,"Edinburgh North","Lothian (Edinburgh)"
scarred,57.80070478906176,-4.1671577268741276,1653929090,131,1976,46,Female,Y,711,Tain,Highland,IV19,"Highlands (Inverness)"
scarred,57.34697683406401,-2.993911709790817,1654295886,180,1985,37,Male,Y,83,Huntly,Aberdeenshire,AB54,"North East (Aberdeen)"
scarred,0,0,1654514102,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
scarred,0,0,1654608851,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
scarred,0,0,1654768549,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
scarred,0,0,1654768970,65,1986,36,Female,Y,264,"Slateford, Edinburgh",Edinburgh,"Edinburgh Central","Lothian (Edinburgh)"
scarred,57.624091935914365,-2.7375752421924697,1655112048,187,2005,17,Male,School,62,Portsoy,Aberdeenshire,AB45,"North East (Aberdeen)"
scarred,57.63229646352187,-2.6863358338076715,1655112142,190,2005,17,Female,School,63,Whitehills,Aberdeenshire,AB45,"North East (Aberdeen)"
scarred,57.66623642503179,-2.441751431130804,1655112179,194,2005,17,Female,School,59,Banff,Aberdeenshire,AB45,"North East (Aberdeen)"
